metric,mean_svi,mean_no_svi,t_stat,p_value,differences_significativas
experiencia_radiologia,4.84375,3.2916666666666665,1.9158617156650064,0.06031618827957651,False
tiempo_de_exposicion,12.979166666666666,8.416666666666666,5.963662901520021,1.5644747884314198e-07,True
duracion_de_jornada,12.083333333333334,11.25,0.7949178077777339,0.42990226058274816,False
sexo,0.4791666666666667,0.4166666666666667,0.3821177645883348,0.7037705768204493,False
estado_civil,0.9583333333333334,0.9166666666666666,0.13041778120317418,0.8966871857946305,False
ingresos_mensuales,1.625,1.5833333333333333,0.12891435596854667,0.8978714173277993,False
condiciones_oculares,0.6666666666666666,0.8333333333333334,-1.1198455491959842,0.2673955678700174,False
lentes,0.5208333333333334,0.4166666666666667,0.6368629409805582,0.5267198938608659,False
iluminacion,0.7291666666666666,0.9166666666666666,-1.3722120579064039,0.17528135730155867,False
frecuencia_de_pausas,1.0208333333333333,1.1666666666666667,-0.6022718105297437,0.5493406490665327,False
uso_de_dispositivos,2.5625,2.8333333333333335,-1.0729142734477628,0.287753426049501,False
distancia_hacia_el_monitor,1.0416666666666667,0.9166666666666666,0.5694063597155133,0.5712791550969684,False
ardor_frecuencia,0.875,0.08333333333333333,3.1062594750386325,0.0029311437973063036,True
ardor_intensidad,0.7708333333333334,0.08333333333333333,2.9921228973800904,0.004063989757208608,True
ardor_severidad,1.1666666666666667,0.08333333333333333,2.9800392953089574,0.004205289895207151,True
picor_frecuencia,0.9583333333333334,0.0,4.2799079359605985,7.095449245212943e-05,True
picor_intensidad,0.8125,0.0,4.362683773634971,5.344126335474527e-05,True
picor_severidad,1.1458333333333333,0.0,3.6800860829292024,0.0005126672326737584,True
sensacion_cuerpo_extraño_frecuencia,0.9166666666666666,0.25,2.4898960748323518,0.015665934799147456,True
sensacion_cuerpo_extraño_intensidad,0.75,0.25,2.1815073593674534,0.033212366631688035,True
sensacion_cuerpo_extraño_severidad,1.2083333333333333,0.4166666666666667,1.8790582837492862,0.06526428079453682,False
lagrimeo_frecuencia,0.8541666666666666,0.4166666666666667,1.6552977715120598,0.1032658215753409,False
lagrimeo_intensidad,0.6666666666666666,0.3333333333333333,1.628320782717144,0.10887739745353617,False
lagrimeo_severidad,0.9583333333333334,0.5,1.4867392847393932,0.1424999484081448,False
parpadeo_excesivo_frecuencia,0.7916666666666666,0.25,2.3271161580934607,0.0234716955661852,True
parpadeo_excesivo_intensidad,0.75,0.3333333333333333,1.8051113445691198,0.07624866428302463,False
parpadeo_excesivo_severidad,1.0208333333333333,0.3333333333333333,2.0334679286120902,0.04658929683257599,True
enrojecimiento_ocular_frecuencia,0.8333333333333334,0.16666666666666666,2.8562636009727402,0.0059401179835805624,True
enrojecimiento_ocular_intensidad,0.7916666666666666,0.08333333333333333,3.35405194198453,0.0014082019594675009,True
enrojecimiento_ocular_severidad,1.0833333333333333,0.16666666666666666,2.636003575772451,0.010744994002239779,True
dolor_ocular_frecuencia,0.9583333333333334,0.16666666666666666,3.324015119873916,0.0015416339713012997,True
dolor_ocular_intensidad,0.7916666666666666,0.08333333333333333,3.8514449650208,0.0002957053958103268,True
dolor_ocular_severidad,1.0833333333333333,0.16666666666666666,3.2858671727449784,0.0017283515047807304,True
pesadez_parpados_frecuencia,0.8125,0.08333333333333333,3.238376888326729,0.0019906507015082864,True
pesadez_parpados_intensidad,0.8333333333333334,0.08333333333333333,3.2537735406019155,0.0019017591943755832,True
pesadez_parpados_severidad,1.1041666666666667,0.08333333333333333,3.074220446539129,0.0032150194736678614,True
sequedad_frecuencia,0.7708333333333334,0.25,2.1482306606497885,0.03588374538467216,True
sequedad_intensidad,0.6875,0.25,2.003056487999689,0.0498519368210375,True
sequedad_severidad,1.0,0.25,2.1114835991131553,0.03905037998177832,True
vision_borrosa_frecuencia,0.7708333333333334,0.4166666666666667,1.4914932417699793,0.14125131069820737,False
vision_borrosa_intensidad,0.6875,0.4166666666666667,1.272331488001145,0.20833269270129942,False
vision_borrosa_severidad,0.9166666666666666,0.5,1.3297716657106322,0.18879968175498454,False
vision_doble_frecuencia,0.8125,0.25,2.441189880739849,0.017711781168514844,True
vision_doble_intensidad,0.7291666666666666,0.3333333333333333,1.8266726766799475,0.0728964316744466,False
vision_doble_severidad,1.0416666666666667,0.3333333333333333,1.9353806664380906,0.057823941004183366,False
dificultad_al_enfocar_frecuencia,1.0416666666666667,0.0,5.026064468529214,5.112054559398881e-06,True
dificultad_al_enfocar_intensidad,0.9375,0.0,5.100322444370047,3.902592955391448e-06,True
dificultad_al_enfocar_severidad,1.2916666666666667,0.0,4.075955448320247,0.00014119520622133056,True
aumento_sensiblidad_luz_frecuencia,0.9583333333333334,0.16666666666666666,3.223517798542241,0.0020801362912215644,True
aumento_sensiblidad_luz_intensidad,0.8541666666666666,0.25,2.5929448890777884,0.012024215981309047,True
aumento_sensiblidad_luz_severidad,1.3125,0.25,2.6345372932419084,0.010786430408278551,True
halos_de_colores_frecuencia,0.9583333333333334,0.08333333333333333,3.845123027715225,0.00030183652463841376,True
halos_de_colores_intensidad,0.9166666666666666,0.08333333333333333,3.813850356982369,0.0003340050663487906,True
halos_de_colores_severidad,1.2916666666666667,0.08333333333333333,3.38779817441775,0.0012713409542406716,True
sensacion_de_ver_peor_frecuencia,0.7708333333333334,0.25,2.2929092704264473,0.025497807583000517,True
sensacion_de_ver_peor_intensidad,0.75,0.25,2.2601453229237154,0.02758249788123227,True
sensacion_de_ver_peor_severidad,1.0,0.25,2.279986896664684,0.02630272352459638,True
dolor_de_cabeza_frecuencia,1.0416666666666667,0.0,4.350804973387004,5.566786494608503e-05,True
dolor_de_cabeza_intensidad,0.8333333333333334,0.0,4.325468462415931,6.072224980332292e-05,True
dolor_de_cabeza_severidad,1.25,0.0,3.9068091705043444,0.0002468895539056836,True
severidad_svi,,,,,False
